    N   R. do Trapézio       R. do Simpson         R. do Boole
  
      12   0.41571359729E-02   0.18759302373E-04   0.48003127096E-06
      24   0.10384097929E-02   0.11656005068E-05   0.73129511335E-08
      48   0.25954789053E-03   0.72743578161E-07   0.11355028029E-09
      96   0.64883564023E-04   0.45448130814E-08   0.17715828804E-11
     192   0.16220677987E-04   0.28402491470E-09   0.27866597918E-13
     384   0.40551561835E-05   0.17751800030E-10   0.44408920985E-15
     768   0.10137882135E-05   0.11098899577E-11   0.22204460493E-15
    1536   0.25344700150E-06   0.69166894434E-13   0.00000000000E+00
    3072   0.63361746738E-07   0.49960036108E-14   0.44408920985E-15
    6144   0.15840436296E-07   0.44408920985E-15   0.22204460493E-15
  
                      Exatos: 0.72245288409E+00
